FID,SMILES,frequency
161,[16*]c1cc(F)cc(F)c1,1662
162,[5*]N1CCC2(CC(=O)c3ccccc3O2)C1,1659
163,[15*]C1CNC(=O)C1,1658
164,[4*]CC(F)(F)F,1650
165,[15*]C1C(=O)c2ccccc2C1=O,1643
166,[16*]c1c(Cl)cccc1Cl,1640
167,[14*]c1ncnc2sc3c(c12)CCC3,1631
168,[8*]CCCC,1623
169,[14*]c1ncccn1,1613
170,[16*]c1cc2c([nH]c1=O)CC(C)(C)CC2=O,1608
171,[16*]c1ccc(F)c(Cl)c1,1607
172,[16*]c1c2ccccc2nc2ccccc12,1601
173,[4*][C@@H](C)C=O,1595
174,[5*]N1CC2(CCCCC2)C1,1585
175,[4*][C@H](C)C=O,1576
176,[16*]c1ccnc2cc(Br)cnc12,1573
177,[14*]c1nc2c([nH]1)CNCC2,1570
178,[5*]N1CCc2ccccc2C1,1570
179,[13*]C1CCCO1,1564
180,[5*]N1Cc2cncnc2C1,1551
181,[14*]c1nc2sc3c(c2c(=O)[nH]1)CCC3,1550
182,[5*]N1CCC2(CC2)C1,1542
183,[4*]CC(=O)O,1534
184,[10*]N1CC2=C(CNC(=O)N2)C1=O,1530
185,[13*]C1NC(=O)NC(=O)C1C#N,1524
186,[4*]CC=C,1521
187,[7*]=C1N=C(C)OC1=O,1513
188,[15*]C1CCCCCC1,1498
189,[14*]c1noc2c1CNCC2,1496
190,[14*]c1nnc2cccnn12,1496
191,[14*]c1ncc2c(n1)CNC2,1490
192,[15*]C1CC2(CCNC2)C1,1481
193,[8*]C(C)O,1474
194,[16*]c1cc(Cl)cc(Cl)c1,1471
195,[7*]=C(C)C,1459
196,[9*]n1ccnc1,1457
197,[16*]c1c(F)cccc1Cl,1449
198,[14*]c1cnon1,1447
199,[16*]c1cnn(C)c1,1440
200,[14*]c1nsc2ccccc12,1421
201,[5*]N1CCOC2CCCC21,1420
202,[5*]N1CCC2(CCCCC2)C1,1404
203,[15*][C@@H]1CCNC1,1395
204,[14*]c1cnc2cnccn12,1392
205,[10*]N1C(=O)COC1=O,1389
206,[14*]c1nc2ccncc2[nH]1,1386
207,[5*]N1CC=C(c2c[nH]c3ccccc23)CC1,1376
208,[9*]n1c(=O)c(=O)[nH]c2ccccc21,1366
209,[9*]n1[nH]c(=O)c2ccccc2c1=O,1353
210,[8*]CC=C,1350
211,[15*]C1CC12CCCCC2,1346
212,[16*]c1ccc([N+](=O)[O-])cc1,1336
213,[8*]C[SH](=O)=O,1335
214,[15*][C@H]1CCNC1,1327
215,[14*]c1nncc(=O)[nH]1,1326
216,[9*]n1nnc2ccccc2c1=O,1321
217,[14*]c1ccc(C)o1,1317
218,[14*]c1cc2n(n1)CCCC2,1315
219,[14*]c1n[nH]c2ccncc12,1313
220,[4*]CCCC,1311
221,[9*]n1ncc2cncnc21,1290
222,[9*]n1cc2c(n1)CSC2,1288
223,[14*]c1[nH]nc2c1CSC2,1286
224,[13*][C@H]1CCCN1,1278
225,[16*]c1ccc2c(c1)S(=O)(=O)NC2=O,1269
226,[14*]c1ncc[nH]1,1254
227,[16*]c1c(C)cccc1C,1254
228,[5*]N1CC[C@@H]2CNC[C@@H]21,1252
229,[15*]C1CCC2(CC1)CC2,1249
230,[13*][C@@H]1CCCN1,1248
231,[14*]c1ccncn1,1245
232,[14*]c1nnc[nH]c1=O,1239
233,[5*]N1CCc2ncccc2C1,1235
234,[16*]c1c[nH]c2nc(C)ccc2c1=O,1235
235,[8*]CCl,1231
236,[16*]c1c(C)cc(C)cc1C,1228
237,[14*]c1nc2cccnc2s1,1223
238,[15*][C@@H]1CNC[C@@H]1C1CC1,1223
239,[14*]c1cc2n(n1)CCNC2=O,1219
240,[16*]c1ccc(C)c(Cl)c1,1207
241,[14*]c1nccn2ccnc12,1200
242,[14*]c1nc2cnccc2[nH]1,1195
243,[5*]N1CCN(C2=NC(=O)CS2)CC1,1194
244,[16*]c1cc2c([nH]c1=O)CCCC2,1183
245,[14*]c1nccn2nccc12,1174
246,[7*]=C1SC(N2CCNCC2)=NC1=O,1173
247,[16*]c1ccc(F)cc1Cl,1163
248,[14*]c1ccc2nccnc2n1,1159
249,[16*]c1cccc(C#N)c1,1157
250,[16*]c1cc(Cl)ccc1Cl,1140
251,[8*]C(C)C=O,1138
252,[9*]n1cc[nH]c(=O)c1=O,1137
253,[15*]C1C(C#N)=COC(N)=C1C#N,1135
254,[14*]c1cc2cnccn2n1,1135
255,[16*]c1cc2cccnc2[nH]c1=O,1134
256,[14*]c1ncn[nH]1,1130
257,[5*]N1CCO[C@H]2CCC[C@@H]21,1126
258,[15*]C1CC2(CCC2)C1,1122
259,[14*]c1ncnc2ccsc12,1115
260,[3*]OC(F)F,1111
261,[14*]c1ccc2c(n1)CCC2,1111
262,[9*]n1c(=O)ccc2cccnc21,1109
263,[1*]C(=O)CC(C)C,1102
264,[5*]N1c2ccccc2CCc2ccccc21,1097
265,[9*]n1c(=O)sc2ccccc21,1094
266,[1*]C(N)=O,1094
267,[14*]c1cc2occc2[nH]1,1084
268,[14*]c1cn2c(n1)SCC2,1083
269,[5*]N1C2CCC1COC2,1081
270,[8*]CC(F)(F)F,1081
271,[14*]c1oc2c(c1C)C(=O)CCC2,1074
272,[16*]c1cccc(Cl)c1Cl,1074
273,[13*]C1NCC12CCCCC2,1068
274,[14*]c1cc2n(n1)CCCO2,1064
275,[13*]C1COC2(CCNCC2)N1,1062
276,[9*]n1cc2c(n1)C(N)CCC2,1062
277,[13*]C1CN2CCN1CC2,1061
278,[5*]NC1CCCc2c[nH]nc21,1061
279,[1*]C(=O)C(C)(C)C,1060
280,[5*]N1CCc2ccccc21,1050
281,[16*]c1cccc([N+](=O)[O-])c1,1045
282,[15*][C@@H]1CCCN2CCCC[C@H]12,1044
283,[5*]NC1=NC(=O)CS1,1033
284,[10*]N1CCn2nccc2C1=O,1030
285,[5*]N1CCOC2(CCOCC2)C1,1029
286,[14*]c1cc2[nH]ncc2cn1,1023
287,[10*]N1CCC(=O)NC1=O,1023
288,[5*]N1CCC2(CC1)CNC2,1020
289,[9*]n1nc2c(cc1=O)CCCC2,1013
290,[5*]NC(=NC)N1CCC2(CCC2)C1,1012
291,[14*]c1ccc2cnccc2n1,1007
292,[16*]c1ccc(C)c(F)c1,993
293,[9*]n1nc2c(cc1=O)CCC2,989
294,[14*]c1nc2ccccc2s1,989
295,[8*]C(F)F,989
296,[14*]c1ncnc2c1oc1ccccc12,988
297,[13*]C1NC(=O)N(C)C2=C1C(=O)NC2,988
298,[9*]n1ncc2c1CCCCC2,988
299,[8*]CCCC=O,987
300,[5*]N1CCCC2(CC2)C1,984
301,[5*]N1CC2CCC(C1)N2,983
302,[14*]c1cccc(C)n1,981
303,[10*]N1C(=O)c2cccnc2C1=O,979
304,[5*]N1CC2(CCNCC2)C1,975
305,[16*]c1cc(Cl)ccc1C,972
306,[14*]c1n[nH]c2ccccc2c1=O,969
307,[9*]n1ccc(=O)c2ccc(C)nc21,966
308,[5*]N1C2CCC1CNC2,963
309,[5*]N1CC(C)OC2(CCOCC2)C1,960
310,[4*]CC1Cc2ccccc21,960
311,[16*]c1ccc2[nH]c(=O)sc2c1,959
312,[5*]N1CCC(=O)c2ccccc21,956
313,[14*]c1ncon1,954
314,[16*]c1cc(C)oc(=O)c1,949
315,[14*]c1cc(=O)cco1,943
316,[14*]c1ncno1,941
317,[9*]n1cnc2ccsc2c1=O,937
318,[16*]c1cccc(O)c1,935
319,[16*]c1ccc2nsnc2c1,933
320,[5*]N1CCNS1(=O)=O,930
321,[5*]N1c2ccccc2NS1(=O)=O,927
322,[12*]S(=O)(=O)c1cnc2n1CCC2,927
323,[5*]NC1=NCCC1,926
324,[14*]c1nc[nH]n1,920
325,[13*]C1CNCCO1,919
326,[13*]C1(C)CCSC(N)=N1,913
327,[9*]n1cnc2cnccc21,912
328,[5*]NC1CCCc2[nH]c(=O)ccc21,905
329,[14*]c1n[nH]c2c1COCC2,905
330,[10*]N1C(=O)CCNC1=O,903
331,[5*]N1CCCC(C)C1,903
332,[13*]C1CCCCO1,901
333,[14*]c1cc(=O)[nH]o1,900
334,[5*]NC1=NS(=O)(=O)c2ccccc21,900
335,[10*]N1C(=O)NC2(CCCc3ccccc32)C1=O,895
336,[7*]=C1C(=O)c2ccccc2C1=O,894
337,[15*]C1CCOC1,894
338,[14*]c1ccc2c(n1)CCCC2=O,893
339,[9*]n1ccc2occc21,888
340,[10*]N1C(=O)N[C@]2(CCCc3ccccc32)C1=O,887
341,[1*]C(=O)C1=COCCO1,884
342,[9*]n1c(=O)[nH]c2ncccc21,880
343,[13*][C@@H]1NC(=O)[C@@H]2CCCN2C1=O,878
344,[14*]c1cc2ccccc2[nH]1,878
345,[5*]N1CCCC2(C1)NC(=O)NC2=O,874
346,[10*]N1C(=O)N[C@@]2(CCCc3ccccc32)C1=O,873
347,[13*][C@@H]1CCCO1,872
348,[14*]c1ccn(C)n1,871
349,[13*][C@H]1CCCO1,870
350,[16*]c1cccc(Cl)c1C,869
351,[14*]c1cc2nc[nH]c(=O)c2s1,867
352,[16*]c1ccnc(C)c1,866
353,[16*]c1cnc2ccsc2c1,863
354,[16*]c1ccc(S(C)(=O)=O)cc1,861
355,[16*]c1csc2c(=O)[nH]cnc12,859
356,[8*]CBr,859
357,[5*]N1CCN(S(=O)(=O)N2CCOCC2)CC1,856
358,[9*]n1c(C)c[nH]c1=O,847
359,[16*]c1ccc(I)cc1,844
360,[15*][C@H]1CNC[C@@H]1C1CC1,844
361,[9*]n1c(=O)[nH]c(=O)c2cccnc21,844
362,[16*]c1cnc2c(c1)CCC2,843
363,[7*]=Cc1ccco1,841
364,[5*]NC1CC(C)n2ccnc21,838
365,[16*]c1ccc2c3c(cccc13)C(=O)NC2=O,838
366,[5*]N1CCc2ccccc2C1c1ccccc1,836
367,[15*][C@@H]1C[C@H]2C(=O)NCC(=O)N2C1,836
368,[6*]C(=O)NO,834
369,[14*]c1cn2ccnc2cn1,833
370,[16*]c1c(Cl)ccc2nsnc12,833
371,[14*]c1ccc2ccccc2n1,833
372,[16*]c1ccc2c(c1)OCCO2,830
373,[14*]c1ccc2cccnc2n1,825
374,[14*]c1ccnn1C,818
375,[16*]c1ccccc1C#N,817
376,[14*]c1cc2cn[nH]c2cn1,816
377,[14*]c1cnsn1,812
378,[14*]c1cnc[nH]1,811
379,[14*]c1nonc1C,804
380,[8*]CCC(=O)O,797
381,[14*]c1ccno1,795
382,[9*]n1cc2c(n1)CCC2,792
383,[16*]c1ccc2[nH]ccc2c1,789
384,[15*][C@H]1C[C@H]2C(=O)NCC(=O)N2C1,785
385,[1*]C(=O)CCC=O,782
386,[14*]c1c2c(nn1C)CCCC2,775
387,[10*]N1CCOC1=O,775
388,[9*]n1nc(C)cc1C,773
389,[16*]c1cc2c([nH]c1=O)CCC2,771
390,[14*]c1nc(C)cs1,767
391,[14*]c1[nH]nc2c1CCC2,767
392,[16*]c1ccc(Cl)cc1C,766
393,[16*]c1ccc(N)cc1,763
394,[5*]N1CCC(S(=O)(=O)c2ccccc2)CC1,761
395,[10*]N1Cc2ccccc2OCC1=O,761
396,[9*]n1cnc2cncnc21,760
397,[5*]N(C)C1=NS(=O)(=O)c2ccccc21,759
398,[14*]c1ccon1,758
399,[16*]c1ccc(Br)cc1F,756
400,[10*]N1C(=O)NCC2=C1COC2=O,756
401,[14*]c1n[nH]c2cnccc12,756
402,[4*]C(C)CC,755
403,[15*]C1CCC(C)CC1,753
404,[15*]C1COCOC1,753
405,[16*]c1cc(=O)oc2ccc3ccccc3c12,753
406,[10*]N1CCCCC1=O,752
407,[5*]NC1=NCCCS1,752
408,[16*]c1cc(=O)oc2cc3c(cc12)CCC3,752
409,[15*]C1CCN(C)CC1,751
410,[14*]c1oc2c(c1C)C(=O)CC(C)(C)C2,741
411,[12*]S(=O)(=O)c1ccc(Cl)cc1,739
412,[13*]C1NC(=O)c2ccccc2NC1=O,739
413,[16*]c1cn[nH]c1C,739
414,[5*][NH3+],739
415,[14*]c1cnc2n1CCC2,738
416,[5*][NH+]1CCNCC1,738
417,[13*][C@@H]1COC2(CCNCC2)N1,737
418,[13*][C@H]1COC2(CCNCC2)N1,737
419,[16*]c1ccc2c(c1)C(=O)NCCO2,736
420,[5*]N1C2CCC1CC(=O)C2,736
421,[9*]n1cnc2sc3c(c2c1=O)CCC3,736
422,[14*]c1nc2c(s1)C(=O)CC(C)(C)C2,733
423,[16*]c1coccc1=O,733
424,[5*]N1CC[NH2+]CC1,732
425,[5*]NC1=NCCCCC1,731
426,[14*]c1nnc2c(n1)[nH]c1ccccc12,731
427,[13*][C@H]1NC(=O)[C@@H]2CCCN2C1=O,730
428,[1*]C(=O)C1CCc2cccnc21,725
429,[5*]N1CC[C@H]2CNC[C@H]21,724
430,[9*]n1cccc1,723
431,[5*]N1Cc2ccncc2C1,722
432,[12*]S(=O)(=O)CC,721
433,[9*]n1ccc2ccccc21,719
434,[14*]c1cc2ccccc2o1,718
435,[13*]C1COC(N)=N1,712
436,[9*]n1ccc2ccncc21,710
437,[16*]c1cncnc1,709
438,[13*]C1Cc2nc[nH]c2CN1,706
439,[9*]n1ncc2c1CCOC2,706
440,[7*]=CCC,706
441,[9*]n1nccc1C,703
442,[14*]c1nn2cnnc2s1,702
443,[5*]N1CCCc2ccccc21,702
444,[5*]N1C[C@H]2CCN(C)[C@H]2C1,702
445,[14*]c1nnc2scnn12,699
446,[9*]n1cnc2c([nH]c3ccccc32)c1=O,699
447,[5*]N1CCCCC1C,693
448,[14*]c1cc2ccccc2c(=O)o1,693
449,[13*]C1COCCN1,692
450,[7*]=C1SC(N2CCCCC2)=NC1=O,691
451,[14*]c1ncnc2[nH]cnc12,690
452,[14*]c1onc2c1CCCC2,689
453,[5*]N1CCO[C@@H]2CCC[C@H]21,678
454,[14*]c1ncc2[nH]cnc2n1,677
455,[14*]c1cnccn1,673
456,[14*]c1ccc[nH]1,672
457,[5*]N1CCn2c1nc1ccccc12,669
458,[7*]=C1C=Nc2ccccc21,668
459,[15*]C1CC(=O)C1,668
460,[14*]c1cncs1,666
461,[9*]n1ccn2nccc2c1=O,663
462,[14*]c1nc2c(c(=O)[nH]1)CCC2,663
463,[16*]c1ccc(C)cc1Cl,663
464,[14*]c1cc2c(=O)[nH]ccn2n1,662
465,[16*]c1cccc(F)c1F,661
466,[12*]S(=O)(=O)c1ccc2[nH]c(=O)sc2c1,660
467,[13*][C@@H]1NC(=O)c2ccccc2NC1=O,660
468,[9*]n1ncc2c1CCCC2=O,660
469,[13*][C@H]1CCCCN1,659
470,[4*]CC#C,658
471,[1*]C(=O)C(F)(F)F,657
472,[5*]N1C[C@@H]2CC[C@H](C1)O2,656
473,[7*]=CC(=O)O,655
474,[13*][C@H]1NC(=O)N(C)C2=C1C(=O)NC2,654
475,[14*]c1cn2ccncc2n1,654
476,[14*]c1nc2c(oc3ccccc32)c(=O)[nH]1,654
477,[14*]c1nc2c(c(=O)[nH]1)CCCC2,651
478,[13*][C@@H]1NC(=O)N(C)C2=C1C(=O)NC2,651
479,[13*][C@@H]1CCCCN1,646
480,[14*]c1ccc(C)s1,645
481,[14*]c1nc2ncccc2c(=O)[nH]1,642
482,[14*]c1csc2ncnn12,639
483,[4*]CC(C)O,638
484,[15*]C1CC2CCC1NC2,637
485,[16*]c1ccoc1,636
486,[16*]c1ccccc1[N+](=O)[O-],634
487,[16*]c1cc2c([nH]c1=O)CCCCC2,634
488,[8*]CC(C)(C)C,629
489,[16*]c1ccc(Cl)cc1F,628
490,[16*]c1cc2c3c(c1)CCC(=O)N3CCC2,628
491,[16*]c1ccc2c(c1)CCNC2c1ccccc1,625
492,[5*]N1CCNC(=O)C1,624
493,[5*]N1CCC2(CC1)OC(=O)c1ccccc12,624
494,[14*]c1ccc(Cl)s1,621
495,[16*]c1cnc2[nH]c(=O)[nH]c2c1,621
496,[14*]c1ncn2c1COCC2,619
497,[12*]S(=O)(=O)c1ccc(F)cc1,618
498,[11*]SC1=Nc2ccccc2C2=NCC(=O)N12,618
499,[16*]c1ccnc2ccncc12,618
500,[15*]C1CCS(=O)(=O)C1,615
501,[9*]n1cc2c(n1)CCCC2,613
502,[16*]c1ccc2n[nH]c(=O)n2c1,613
503,[5*]N1CC=C(c2c[nH]c3cc(F)ccc23)CC1,612
504,[16*]c1cnc2sccn2c1=O,612
505,[14*]c1nc2c(s1)C(=O)CCC2,609
506,[16*]c1cnc2c(c1)CNCC2,609
507,[9*]n1nc2ccccn2c1=O,608
508,[13*][C@H]1NC(=O)c2ccccc2NC1=O,608
509,[16*]c1cn(C)c(=O)c2[nH]ccc12,607
510,[5*]N1CCC(=C)CC1,606
511,[14*]c1cc2c(nn1)CCC2,603
512,[14*]c1cc(C)[nH]n1,602
513,[14*]c1nc2c(s1)CCC2(C)C,602
514,[14*]c1nc(=O)[nH]c2ccccc12,601
515,[12*]S(=O)(=O)c1cc2c3c(c1)CC(=O)N3CCC2,599
516,[12*]S(=O)(=O)c1cnn2c1OCCC2,599
517,[15*]C1CCNC1=O,598
518,[5*]N1CCC(O)CC1,593
519,[10*]N1CCNC1=O,591
520,[7*]=Cc1ccc(Cl)cc1,589
521,[14*]c1nc(C)nc2sc3c(c12)CCC3,588
522,[14*]c1nc2sccn2n1,588
523,[14*]c1n[nH]c2ccccc12,584
524,[16*]c1ccc(F)cc1C,583
525,[5*]N1CCC(=O)C1,582
526,[14*]c1nc2ccccc2c(=O)o1,582
527,[15*][C@@H]1CCC12CCC2,582
528,[14*]c1cnc2cccnc2n1,582
529,[16*]c1c(C)n[nH]c1C,582
530,[7*]=Cc1cccc(Cl)c1,581
531,[16*]c1ccc(Cl)c(F)c1,581
532,[16*]c1ccccc1I,581
533,[9*]n1cc2c(n1)CS(=O)(=O)C2,581
534,[14*]c1[nH]nc2c1CS(=O)(=O)C2,580
535,[5*]N1CCC2(C1)NC(=O)N(C)C2=O,580
536,[8*][C@@H](C)C=O,579
537,[14*]c1nc2c(cc1C#N)CCC2,579
538,[10*]N1C(=O)N(C)c2ccccc2S1(=O)=O,576
539,[1*]C(=O)/C(C#N)=C1/NC(=O)CS1,574
540,[16*]c1ccc(Br)cc1C,574
541,[5*]N1C[C@H]2COC[C@H]2C1,574
542,[10*]N1C(=O)CS/C1=C(/C#N)C=O,572
543,[16*]c1ccc2c(c1)C(c1ccccc1)NCC2,572
544,[7*]=Cc1cccc(Br)c1,568
545,[1*]C(=O)CC(C)(C)C,566
546,[16*]c1ccc(Br)c(C)c1,566
547,[9*]n1c(=O)[nH]c2cccnc21,566
548,[13*]C1NC(=O)NC2=C1C(=O)NC2,565
549,[9*]n1cc2c(n1)CS(=O)C2,564
550,[11*]SC1=NCCS1,564
551,[14*]c1[nH]nc2c1CS(=O)C2,563
552,[8*]CF,563
553,[14*]c1nc(C)c2c(n1)NCCC2,562
554,[4*]CC(N)=O,562
555,[5*]N1CCCc2c(C)ncnc21,562
556,[16*]c1ccc2c(c1)CCC2,559
557,[8*][C@H](C)C=O,556
558,[14*]c1ccc2c(n1)NCCC2,556
559,[7*]=Cc1ccc(F)cc1,554
560,[9*]n1cnc2c(oc3ccccc32)c1=O,554
561,[16*]c1cnc2[nH]c(=O)[nH]c(=O)c2c1,553
562,[16*]c1c(C)nc2c(c1C)c(=O)[nH]n2C,551
563,[9*]n1cnc2[nH]ncc2c1=O,551
564,[16*]c1ccc2c(c1)COC2=O,550
565,[5*]N1C[C@@H]2CCN[C@@H]2C1,550
566,[5*]N1CCN(S(=O)(=O)N2CC(C)OC(C)C2)CC1,547
567,[6*]C(=O)CC,545
568,[16*]c1ccnc2nc[nH]c(=O)c12,545
569,[12*]S(=O)(=O)c1cc2c3c(c1)CCC(=O)N3CCC2,544
570,[5*]N1CC2CCC1CC2,543
571,[16*]c1cc2c3c(c1)CC(=O)N3CCC2,541
572,[16*]c1ccc(C2=NNC(=O)CC2)cc1,540
573,[14*]c1cccnn1,538
574,[5*]NC(=NC)N1CCC2(CCCCC2)C1,537
575,[14*]c1nccc2[nH]cnc12,537
576,[16*]c1ccc2c(c1)CNC(=O)CO2,536
577,[5*]N1CCC2(C)C(C1)C2(F)F,535
578,[16*]c1ccc(F)c(C)c1,535
579,[15*]C1COC(C)(C)OC1,532
580,[15*][C@@H]1CCC12CCCC2,532
581,[16*]c1ccnc2ccccc12,530
582,[8*]C(C)CC,530
583,[14*]c1csc(C)n1,529
584,[7*]=C1CCCC1=O,526
585,[5*][NH2+]C,525
586,[9*]n1ccccc1=NC=O,524
587,[6*]C(=O)NNC=O,524
588,[6*]C(=O)N=c1cccc[nH]1,523
589,[14*]c1ccc(Cl)cn1,523
590,[16*]c1ccc2oc3ccccc3c(=O)c2c1,523
591,[5*]N1CCN(S(=O)(=O)N2CCCC2)CC1,522
592,[16*]c1ccc(C2=NNC(=O)CC2C)cc1,522
593,[14*]c1cc2ccncc2[nH]1,521
594,[16*]c1ccnc2[nH]c(=O)[nH]c(=O)c12,521
595,[13*]C1CNC2(CCCC2)CN1,520
596,[16*]c1c[nH]c2cnccc12,519
597,[15*]C1CCn2nccc2C1,518
598,[14*]c1nc2c(s1)CCC2C=O,518
599,[16*]c1ccc2c(c1)sc(=O)n2C,518
600,[1*]C(=O)C1CCc2scnc21,518
601,[14*]c1nn2ccnc2s1,516
