FID,SMILES,frequency
343,[13*][C@@H]1NC(=O)[C@@H]2CCCN2C1=O,878
344,[14*]c1cc2ccccc2[nH]1,878
345,[5*]N1CCCC2(C1)NC(=O)NC2=O,874
346,[10*]N1C(=O)N[C@@]2(CCCc3ccccc32)C1=O,873
347,[13*][C@@H]1CCCO1,872
348,[14*]c1ccn(C)n1,871
349,[13*][C@H]1CCCO1,870
350,[16*]c1cccc(Cl)c1C,869
351,[14*]c1cc2nc[nH]c(=O)c2s1,867
352,[16*]c1ccnc(C)c1,866
353,[16*]c1cnc2ccsc2c1,863
354,[16*]c1ccc(S(C)(=O)=O)cc1,861
355,[16*]c1csc2c(=O)[nH]cnc12,859
356,[8*]CBr,859
357,[5*]N1CCN(S(=O)(=O)N2CCOCC2)CC1,856
358,[9*]n1c(C)c[nH]c1=O,847
359,[16*]c1ccc(I)cc1,844
360,[15*][C@H]1CNC[C@@H]1C1CC1,844
361,[9*]n1c(=O)[nH]c(=O)c2cccnc21,844
362,[16*]c1cnc2c(c1)CCC2,843
363,[7*]=Cc1ccco1,841
364,[5*]NC1CC(C)n2ccnc21,838
365,[16*]c1ccc2c3c(cccc13)C(=O)NC2=O,838
366,[5*]N1CCc2ccccc2C1c1ccccc1,836
367,[15*][C@@H]1C[C@H]2C(=O)NCC(=O)N2C1,836
368,[6*]C(=O)NO,834
369,[14*]c1cn2ccnc2cn1,833
370,[16*]c1c(Cl)ccc2nsnc12,833
371,[14*]c1ccc2ccccc2n1,833
372,[16*]c1ccc2c(c1)OCCO2,830
373,[14*]c1ccc2cccnc2n1,825
374,[14*]c1ccnn1C,818
375,[16*]c1ccccc1C#N,817
376,[14*]c1cc2cn[nH]c2cn1,816
377,[14*]c1cnsn1,812
378,[14*]c1cnc[nH]1,811
379,[14*]c1nonc1C,804
380,[8*]CCC(=O)O,797
381,[14*]c1ccno1,795
382,[9*]n1cc2c(n1)CCC2,792
383,[16*]c1ccc2[nH]ccc2c1,789
384,[15*][C@H]1C[C@H]2C(=O)NCC(=O)N2C1,785
385,[1*]C(=O)CCC=O,782
386,[14*]c1c2c(nn1C)CCCC2,775
387,[10*]N1CCOC1=O,775
388,[9*]n1nc(C)cc1C,773
389,[16*]c1cc2c([nH]c1=O)CCC2,771
390,[14*]c1nc(C)cs1,767
391,[14*]c1[nH]nc2c1CCC2,767
392,[16*]c1ccc(Cl)cc1C,766
393,[16*]c1ccc(N)cc1,763
394,[5*]N1CCC(S(=O)(=O)c2ccccc2)CC1,761
395,[10*]N1Cc2ccccc2OCC1=O,761
396,[9*]n1cnc2cncnc21,760
397,[5*]N(C)C1=NS(=O)(=O)c2ccccc21,759
398,[14*]c1ccon1,758
399,[16*]c1ccc(Br)cc1F,756
400,[10*]N1C(=O)NCC2=C1COC2=O,756
401,[14*]c1n[nH]c2cnccc12,756
402,[4*]C(C)CC,755
403,[15*]C1CCC(C)CC1,753
404,[15*]C1COCOC1,753
405,[16*]c1cc(=O)oc2ccc3ccccc3c12,753
406,[10*]N1CCCCC1=O,752
407,[5*]NC1=NCCCS1,752
408,[16*]c1cc(=O)oc2cc3c(cc12)CCC3,752
409,[15*]C1CCN(C)CC1,751
410,[14*]c1oc2c(c1C)C(=O)CC(C)(C)C2,741
411,[12*]S(=O)(=O)c1ccc(Cl)cc1,739
412,[13*]C1NC(=O)c2ccccc2NC1=O,739
413,[16*]c1cn[nH]c1C,739
414,[5*][NH3+],739
415,[14*]c1cnc2n1CCC2,738
416,[5*][NH+]1CCNCC1,738
417,[13*][C@@H]1COC2(CCNCC2)N1,737
418,[13*][C@H]1COC2(CCNCC2)N1,737
419,[16*]c1ccc2c(c1)C(=O)NCCO2,736
420,[5*]N1C2CCC1CC(=O)C2,736
421,[9*]n1cnc2sc3c(c2c1=O)CCC3,736
422,[14*]c1nc2c(s1)C(=O)CC(C)(C)C2,733
423,[16*]c1coccc1=O,733
424,[5*]N1CC[NH2+]CC1,732
425,[5*]NC1=NCCCCC1,731
426,[14*]c1nnc2c(n1)[nH]c1ccccc12,731
427,[13*][C@H]1NC(=O)[C@@H]2CCCN2C1=O,730
428,[1*]C(=O)C1CCc2cccnc21,725
429,[5*]N1CC[C@H]2CNC[C@H]21,724
430,[9*]n1cccc1,723
431,[5*]N1Cc2ccncc2C1,722
432,[12*]S(=O)(=O)CC,721
433,[9*]n1ccc2ccccc21,719
434,[14*]c1cc2ccccc2o1,718
435,[13*]C1COC(N)=N1,712
436,[9*]n1ccc2ccncc21,710
437,[16*]c1cncnc1,709
438,[13*]C1Cc2nc[nH]c2CN1,706
439,[9*]n1ncc2c1CCOC2,706
440,[7*]=CCC,706
441,[9*]n1nccc1C,703
442,[14*]c1nn2cnnc2s1,702
443,[5*]N1CCCc2ccccc21,702
444,[5*]N1C[C@H]2CCN(C)[C@H]2C1,702
445,[14*]c1nnc2scnn12,699
446,[9*]n1cnc2c([nH]c3ccccc32)c1=O,699
447,[5*]N1CCCCC1C,693
448,[14*]c1cc2ccccc2c(=O)o1,693
449,[13*]C1COCCN1,692
450,[7*]=C1SC(N2CCCCC2)=NC1=O,691
451,[14*]c1ncnc2[nH]cnc12,690
452,[14*]c1onc2c1CCCC2,689
453,[5*]N1CCO[C@@H]2CCC[C@H]21,678
454,[14*]c1ncc2[nH]cnc2n1,677
455,[14*]c1cnccn1,673
456,[14*]c1ccc[nH]1,672
457,[14*]c1cncs1,670
458,[5*]N1CCn2c1nc1ccccc12,669
459,[7*]=C1C=Nc2ccccc21,668
460,[15*]C1CC(=O)C1,668
461,[9*]n1ccn2nccc2c1=O,663
462,[14*]c1nc2c(c(=O)[nH]1)CCC2,663
463,[16*]c1ccc(C)cc1Cl,663
464,[14*]c1cc2c(=O)[nH]ccn2n1,662
465,[16*]c1cccc(F)c1F,661
466,[12*]S(=O)(=O)c1ccc2[nH]c(=O)sc2c1,660
467,[13*][C@@H]1NC(=O)c2ccccc2NC1=O,660
468,[9*]n1ncc2c1CCCC2=O,660
469,[13*][C@H]1CCCCN1,659
470,[4*]CC#C,658
471,[1*]C(=O)C(F)(F)F,658
472,[5*]N1C[C@@H]2CC[C@H](C1)O2,656
473,[7*]=CC(=O)O,655
474,[13*][C@H]1NC(=O)N(C)C2=C1C(=O)NC2,654
475,[14*]c1nc2c(oc3ccccc32)c(=O)[nH]1,654
476,[14*]c1cn2ccncc2n1,654
477,[13*][C@@H]1NC(=O)N(C)C2=C1C(=O)NC2,651
478,[14*]c1nc2c(c(=O)[nH]1)CCCC2,651
479,[13*][C@@H]1CCCCN1,646
480,[14*]c1ccc(C)s1,645
481,[14*]c1nc2ncccc2c(=O)[nH]1,642
482,[14*]c1csc2ncnn12,639
483,[4*]CC(C)O,638
484,[15*]C1CC2CCC1NC2,637
485,[16*]c1ccoc1,636
486,[16*]c1ccccc1[N+](=O)[O-],634
487,[16*]c1cc2c([nH]c1=O)CCCCC2,634
488,[8*]CC(C)(C)C,629
489,[16*]c1ccc(Cl)cc1F,628
490,[16*]c1cc2c3c(c1)CCC(=O)N3CCC2,628
491,[16*]c1ccc2c(c1)CCNC2c1ccccc1,625
492,[5*]N1CCNC(=O)C1,624
493,[5*]N1CCC2(CC1)OC(=O)c1ccccc12,624
494,[16*]c1cnc2[nH]c(=O)[nH]c2c1,621
495,[14*]c1ccc(Cl)s1,621
496,[14*]c1ncn2c1COCC2,619
497,[12*]S(=O)(=O)c1ccc(F)cc1,618
498,[11*]SC1=Nc2ccccc2C2=NCC(=O)N12,618
499,[16*]c1ccnc2ccncc12,618
500,[15*]C1CCS(=O)(=O)C1,615
501,[16*]c1ccc2n[nH]c(=O)n2c1,613
502,[9*]n1cc2c(n1)CCCC2,613
503,[16*]c1cnc2sccn2c1=O,612
504,[5*]N1CC=C(c2c[nH]c3cc(F)ccc23)CC1,612
505,[16*]c1cnc2c(c1)CNCC2,609
506,[14*]c1nc2c(s1)C(=O)CCC2,609
507,[9*]n1nc2ccccn2c1=O,608
508,[13*][C@H]1NC(=O)c2ccccc2NC1=O,608
509,[16*]c1cn(C)c(=O)c2[nH]ccc12,607
510,[5*]N1CCC(=C)CC1,606
511,[14*]c1cc2c(nn1)CCC2,603
512,[14*]c1cc(C)[nH]n1,602
513,[14*]c1nc2c(s1)CCC2(C)C,602
514,[14*]c1nc(=O)[nH]c2ccccc12,601
515,[12*]S(=O)(=O)c1cnn2c1OCCC2,599
516,[12*]S(=O)(=O)c1cc2c3c(c1)CC(=O)N3CCC2,599
517,[15*]C1CCNC1=O,598
518,[5*]N1CCC(O)CC1,593
519,[10*]N1CCNC1=O,591
520,[7*]=Cc1ccc(Cl)cc1,589
521,[14*]c1nc(C)nc2sc3c(c12)CCC3,588
522,[14*]c1nc2sccn2n1,588
523,[14*]c1n[nH]c2ccccc12,584
524,[16*]c1ccc(F)cc1C,583
525,[14*]c1nc2ccccc2c(=O)o1,582
526,[5*]N1CCC(=O)C1,582
527,[16*]c1c(C)n[nH]c1C,582
528,[15*][C@@H]1CCC12CCC2,582
529,[14*]c1cnc2cccnc2n1,582
530,[16*]c1ccccc1I,581
531,[7*]=Cc1cccc(Cl)c1,581
532,[9*]n1cc2c(n1)CS(=O)(=O)C2,581
533,[16*]c1ccc(Cl)c(F)c1,581
534,[14*]c1[nH]nc2c1CS(=O)(=O)C2,580
535,[5*]N1CCC2(C1)NC(=O)N(C)C2=O,580
536,[8*][C@@H](C)C=O,579
537,[14*]c1nc2c(cc1C#N)CCC2,579
538,[10*]N1C(=O)N(C)c2ccccc2S1(=O)=O,576
539,[1*]C(=O)/C(C#N)=C1/NC(=O)CS1,574
540,[16*]c1ccc(Br)cc1C,574
541,[5*]N1C[C@H]2COC[C@H]2C1,574
542,[10*]N1C(=O)CS/C1=C(/C#N)C=O,572
543,[16*]c1ccc2c(c1)C(c1ccccc1)NCC2,572
544,[7*]=Cc1cccc(Br)c1,568
545,[1*]C(=O)CC(C)(C)C,566
546,[16*]c1ccc(Br)c(C)c1,566
547,[9*]n1c(=O)[nH]c2cccnc21,566
548,[13*]C1NC(=O)NC2=C1C(=O)NC2,565
549,[9*]n1cc2c(n1)CS(=O)C2,564
550,[11*]SC1=NCCS1,564
551,[14*]c1[nH]nc2c1CS(=O)C2,563
552,[8*]CF,563
553,[14*]c1nc(C)c2c(n1)NCCC2,562
554,[4*]CC(N)=O,562
555,[5*]N1CCCc2c(C)ncnc21,562
556,[16*]c1ccc2c(c1)CCC2,559
557,[8*][C@H](C)C=O,556
558,[14*]c1ccc2c(n1)NCCC2,556
559,[7*]=Cc1ccc(F)cc1,554
560,[9*]n1cnc2c(oc3ccccc32)c1=O,554
