FID,SMILES,frequency,org_FID
210,[16*]c1ccc(C2=NNC(=O)CC2C)cc1,522,592
211,[14*]c1cc2ccncc2[nH]1,521,593
212,[13*]C1CNC2(CCCC2)CN1,520,595
213,[1*]C(=O)C1CCc2scnc21,518,600
214,[14*]c1cc2nc(C)ccc2o1,514,606
215,[13*]C1CN=C(N)S1,514,607
216,[16*]c1cc(C)ccc1O,513,608
217,[8*]C(C)(C)O,513,609
218,[5*]N1CCC(S(=O)(=O)c2ccccc2)C1,512,610
219,[5*]N1CCSCC1,508,616
220,[5*]N1Cc2cccnc2C1,503,620
221,[14*]c1nccc2sccc12,502,621
222,[15*][C@H]1CCC12CCC2,500,623
223,[16*]c1c[nH]c2ncccc2c1=O,499,625
224,[16*]c1ccccc1N,495,627
225,[12*]S(=O)(=O)c1cccs1,494,628
226,[14*]c1c2c(nn1C)CCC2,491,631
227,[5*]N1CCc2nocc2C1,490,633
228,[13*][C@@H]1NC(=O)NC2=C1C(=O)NC2,489,634
229,[9*]n1ccc(=O)c2cccnc21,485,640
230,[3*]OC1=C(C#N)CC(C#N)=C(N)O1,485,643
231,[8*]CC(N)=O,484,644
232,[16*]c1ccc(Cl)c(C)c1,478,651
233,[16*]c1ccnc2nc(C)ccc12,477,652
234,[4*]C1C(=O)c2ccccc2C1=O,474,655
235,[7*]=Cc1ccc(O)cc1,473,658
236,[14*]c1nc(=O)cc[nH]1,472,659
237,[4*]CC(=O)N1CCC(c2cccs2)=N1,472,660
238,[15*][C@@H]1CNC(=O)C1,469,662
239,[16*]c1cc(F)ccc1C,464,668
240,[16*]c1cnc2nc(C)ccc2c1,457,677
241,[14*]c1ncccc1Cl,455,682
242,[16*]c1ccnc2ccsc12,454,684
243,[1*]C(=O)CN1C(=O)c2cccc3cccc1c23,453,687
244,[9*]n1cncn1,452,689
245,[8*][C@@H](C)O,451,691
246,[5*]NC1=NCCCN1,448,694
247,[9*]n1c(=O)n(C)c2ncccc21,448,695
248,[14*]c1ncc2[nH]c(=O)[nH]c2n1,443,699
249,[5*]NC1CCCc2nn(C)cc21,443,701
250,[13*]C1OCC(C)CO1,441,703
251,[16*]c1cncc2cccnc12,438,707
252,[15*][C@H]1CC[C@@H]2NCCO[C@@H]12,437,709
253,[14*]c1[nH]c2ccccc2[n+]1C,437,711
254,[16*]c1c(C)nc2cc(=O)[nH]n2c1C,437,713
255,[14*]c1cn[nH]c(=O)n1,436,715
256,[14*]c1ccc2c(=O)[nH]c(=O)[nH]c2n1,435,717
257,[5*]NC1=CC(=O)CCC1,433,719
258,[5*]N1Cc2ccccc2C(c2cnn(C)c2)C1,432,720
259,[5*]N1CCC2(C1)NC(=O)NC2=O,431,722
260,[14*]c1cn2c(n1)CCC2,431,724
261,[16*]c1cnn2c1C(=O)NC[C@@H]2C,429,726
262,[5*]N1CCC2(CC1)OCCCO2,429,728
263,[14*]c1[nH]nc2c1C[S@@](=O)C2,426,732
264,[5*]N1C2CCC1c1cncnc1C2,426,733
265,[14*]c1n[nH]c(=O)[nH]c1=O,421,742
266,[14*]c1cc2c(nn1)CCCC2,419,745
267,[14*]c1nnco1,414,748
268,[5*]N1CC(C)CC(C)C1,413,750
269,[5*]N1CCC(S(=O)(=O)c2ccc(F)cc2)CC1,405,757
270,[15*]C1CC2C(=O)Nc3ccccc3N2C1,402,761
271,[8*]CC(C)O,400,766
272,[14*]c1ccc2c(=O)cc[nH]c2n1,398,771
273,[14*]c1cc2ncccc2o1,398,772
274,[16*]c1cnn2ccncc12,397,773
275,[5*]N1C2CCC1c1ccccc12,395,777
276,[14*]c1cc2oc(C)cc2[nH]1,393,781
277,[14*]c1nc2c([nH]c3ccccc32)c(=O)[nH]1,392,784
278,[14*]c1nccn1C,388,793
279,[13*]C1CNCCN1,385,797
280,[16*]c1cc2c(ccc3ccccc32)oc1=O,384,799
281,[1*]C(=O)C1=C(C)OC(N)=C(C#N)C1,382,802
282,[7*]=C1Sc2ccccc2C1=O,380,803
283,[15*]C1CCCN2CCCCC12,380,804
284,[15*]C1CNCC12CCCCC2,380,805
285,[12*]S(=O)(=O)c1cccc2nsnc12,379,807
286,[16*]c1ccc(F)c(F)c1F,378,810
287,[8*]CCCl,376,812
288,[5*]N1CC(C)OC(C)C1,374,813
289,[9*]n1ccnn1,373,815
290,[16*]c1ccc2[nH]cc(C3=CCNCC3)c2c1,371,817
291,[10*]N1C(=O)c2ccnn2CC1C,366,824
292,[16*]c1coc2c1C(=O)CCC2,366,825
293,[16*]c1ccc2c(=O)c3ccccc3oc2c1,365,826
294,[14*]c1ncnc2c1CNC2,362,830
295,[16*]c1c(C)nn(C)c1C,358,840
296,[15*]C1CC12CCNC2,352,853
297,[15*]C1CCCNC1=O,351,855
