FID,SMILES
276,[16*]c1ccc(F)c(Br)c1
277,[13*][C@@H]1Cc2ccccc2O1
278,[5*]N1CC[NH+]2CCC[C@@H]2C1
279,[15*]C1CCC([NH3+])CC1
280,[15*]C1(O)CCCC1
281,[13*]C1[NH+]=c2ccccc2=[NH+]1
282,[7*]=Cc1ccc(C)o1
283,[8*]CC#C
284,[14*]c1nc2cccnc2[nH]1
285,[8*]CN1CCNCC1
286,[4*]CC(Cl)(Cl)Cl
287,[14*]c1ncc2ccccc2n1
288,[16*]c1ccnc(Cl)c1
289,[7*]=Cc1ccc([N+](=O)[O-])cc1
290,[14*]c1ncnc2c1cnn2C
291,[14*]c1ccc([N+](=O)[O-])cn1
292,[4*]C[C@H](C)C#N
293,[14*]c1sccc1C#N
294,[13*][C@@H]1CCCCCN1
295,[5*]N1CCC2(CC1)OCCO2
296,[4*][C@H](CO)C(C)C
297,[6*]C(=O)NO
298,[15*]C1Cc2ccccc2C1
299,[14*]c1ccc(Cl)nn1
300,[5*]N1CC[NH+]=C1N
301,[4*]C1CCC1
302,[13*][C@H]1CN2CCCC[C@@H]2CO1
303,[10*]N1CC(=O)NCC1=O
304,[16*]c1cccc2c1OCO2
305,[16*]c1ccc(C#N)cc1F
306,[7*]=Cc1ccc(O)cc1
307,[4*][C@@H](CC)CO
308,[9*]n1nnnc1C
309,[13*][C@@H]1CN2CCCC[C@@H]2CO1
310,[16*]c1cccc2cn[nH]c12
311,[4*]CCCS(C)(=O)=O
312,[1*]C(=O)C1=Cc2ccccc2OC1
313,[5*]N1CCOC(C)(C)C1
314,[9*]n1cc(C)c2ccccc21
315,[14*]c1nc2sccc2c(=O)[nH]1
316,[15*]C1(C)CCNCC1
317,[14*]c1nnc(C)n1C
318,[16*]c1cncc2ccccc12
319,[14*]c1nccc2ccccc12
320,[14*]c1nonc1C
321,[5*]N1CCCCCCC1
322,[5*][NH+]1C[C@@H](C)C[C@H](C)C1
323,[16*]c1csc2nc[nH]c(=O)c12
324,[12*]S(=O)(=O)c1ccc(C)cc1C
325,[16*]c1ccc(C)cc1O
326,[7*]=C(C)N
327,[14*]c1ccc2cn[nH]c2n1
328,[16*]c1cc(F)ccc1Br
329,[16*]c1cccc2ccc(C)nc12
330,[15*][C@H]1CCC[C@@H]1O
331,[15*][C@@H]1CCC[C@H](S(C)(=O)=O)C1
332,[16*]c1ccc(F)c([SH](=O)=O)c1
333,[12*]S(=O)(=O)c1ccn(C)c1
334,[15*][C@@H]1CCO[C@]2(CCOC2)C1
335,[12*]S(=O)(=O)c1ccc2c(c1)OCCO2
336,[7*]=Cc1ccccc1Cl
337,[14*]c1cc(C)ns1
338,[15*][C@@H]1CCOC2(CCC2)C1
339,[15*]C1CC(C)(C)[NH2+]C(C)(C)C1
340,[1*]C(=O)CCC[NH3+]
341,[14*]c1nc2c(s1)CCC2
342,[14*]c1ncnc2sc(C)cc12
343,[12*]S(=O)(=O)c1cnn(C)c1
344,[1*]C(=O)CC=O
345,[5*]N1[C@@H](C)CCC[C@H]1C
346,[4*][C@@H](C)C(C)(C)C
347,[4*][C@]1(C)CCC1(C)C
348,[16*]c1cnn2cccnc12
349,[14*]c1cc(C)c(Br)s1
350,[16*]c1ccc2c(c1)C[C@H](C)O2
351,[13*][C@H]1Cc2ccccc2S1
352,[5*][NH+]1CCC1
353,[14*]c1cccc[n+]1[O-]
354,[4*]CC[C@@H](C)C=O
355,[14*]c1nc(C)sc1C
356,[4*]CCC1=c2ccccc2=[NH+]C1
357,[16*]c1cc(Cl)c2c(c1)OCCO2
358,[16*]c1ccc(O)cc1O
359,[9*]n1c(N)cc(=O)[nH]c1=O
360,[15*]C1CC(=O)NC1=O
361,[8*][C@@H](C)Cl
362,[15*][C@H]1C[C@@H]2C=C[C@H]1C2
363,[7*]=Cc1ccc(C#N)cc1
364,[14*]c1ncccc1N
365,[5*]N1CC[S@@](=O)C(C)(C)C1
366,[16*]c1ccnc2onc(C)c12
367,[9*]n1c(=O)[nH]c(=O)c2ccccc21
368,[5*]N1CCS(=O)(=O)CC1
369,[16*]c1ccc(C2=CCNCC2)cc1
370,[1*]C(=O)CCCC=O
371,[16*]c1ccc(C)c(Br)c1
372,[4*]CCC(C)(C)O
373,[16*]c1c[nH]c2nccc(Cl)c12
374,[15*]C1([NH3+])CCC1
375,[16*]c1ccc2c(c1)n(C)c(=O)n2C
376,[16*]c1ccc2[nH]nnc2c1
377,[14*]c1sccc1Br
378,[15*]C1(O)CC[NH2+]CC1
379,[16*]c1cccc2cnccc12
380,[14*]c1cc([SH](=O)=O)cn1C
381,[12*]S(=O)(=O)c1ccc([N+](=O)[O-])cc1
382,[12*]S(=O)(=O)c1ccc2c(c1)CCN2
383,[5*]N1CCO[C@H](C#N)C1
384,[16*]c1ccc([SH](=O)=O)cc1C
385,[4*][C@@H](C)C#N
386,[14*]c1nc2c([nH]1)c(=O)[nH]c(=O)n2C
387,[9*]n1cnccc1=O
388,[13*][C@H]1CN2CCC[C@@H]2CO1
389,[14*]c1n[nH]c2c1CNCC2
390,[14*]c1cccc(=O)[nH]1
391,[15*][C@@H]1CCC12CCC2
392,[5*]N1CCc2ncncc2C1
393,[16*]c1cccc(Cl)c1F
394,[9*]n1c(=O)cnc2ccccc21
395,[5*]N1[C@@H](C)CCC[C@@H]1C
396,[13*][C@@H]1CSCCS1
397,[12*]S(=O)(=O)c1cn[nH]c1
398,[4*][C@@H](C#N)CC
399,[14*]c1cc(Cl)cs1
400,[16*]c1c(F)cc(F)cc1F
401,[4*]CC(CC)CC
402,[5*]N1CCNC[C@@H]1C
403,[12*]S(=O)(=O)c1cccc(Br)c1
404,[16*]c1cc(C)ccc1[N+](=O)[O-]
405,[9*]n1c(=O)[nH]c2ccsc2c1=O
406,[13*][C@@H]1CNc2ccccc2O1
407,[16*]c1c(C)nc(C)[nH]c1=O
408,[16*]c1ccc2scnc2c1
409,[10*]N1N=C(C=O)CCC1=O
410,[15*]C1(N)CCCC1
411,[16*]c1csc(Br)c1
412,[13*][C@@H]1NC(=O)c2ccccc2N1
413,[16*]c1cc(F)ccc1[N+](=O)[O-]
414,[4*]C(C)(C)CO
415,[5*]N[C@H]1CCCn2ncnc21
416,[5*]N1C[C@H](C)OCC1(C)C
417,[14*]c1ncc2c(n1)CCNC2
418,[14*]c1cc2c(s1)CCCCC2
419,[5*]N1CCC([NH3+])CC1
420,[14*]c1cc2ccccc2n1C
421,[8*][C@H](C)C(=O)[O-]
422,[4*]CCCC#N
423,[4*]CC(C)=O
424,[12*]S(=O)(=O)c1cc(Cl)ccc1Cl
425,[14*]c1nc2ncccn2n1
426,[7*]=CC1CC1
427,[9*]n1cnn(C)c1=O
428,[7*]=C1C(=O)NN=C1C
429,[16*]c1ccc(Br)cc1N
430,[16*]c1ccc2c(c1)NC(=O)CS2
431,[14*]c1nc2c(F)cccc2s1
432,[5*]NS(N)(=O)=O
433,[9*]n1ccc(=O)[nH]c1=O
434,[9*]n1cnc2sc(C)c(C)c2c1=O
435,[5*]N1CCSC(C)(C)C1
436,[15*][C@H]1C[C@@H](C)C1(C)C
437,[9*]n1c(C)csc1=O
438,[14*]c1sc2nc[nH]c(=O)c2c1C
439,[15*][C@@H]1CCOC2(CCOCC2)C1
440,[16*]c1ccc(Br)cc1Cl
441,[13*][C@@H]1CSCCO1
442,[12*]S(=O)(=O)c1ccccc1Br
443,[15*]C1CC(=O)NC(=O)C1
444,[14*]c1cccc(C)[nH+]1
445,[16*]c1cc(Br)ccc1Cl
