FID,SMILES,frequency,org_FID
9488,[13*]C1CCC(=O)O1,7,14324
9489,[16*]c1cc(Cl)cc([N+](=O)[O-])c1,7,14326
9490,[9*]n1cnc2c(Cl)nc(Cl)cc21,7,14327
9491,[10*]N1CC(CO)n2nccc2C1=O,7,14329
9492,[13*]C1CCC(C)CCN1,7,14331
9493,[6*]C(=O)NN=C(C)C1C(=O)N(c2ccc(C)c(C)c2)c2ccccc21,7,14332
9494,[16*]c1ccc(C2C(C#N)=C(N)Oc3[nH]nc(C)c32)cc1,7,14333
9495,[8*]CCC(N)=S,7,14335
9496,[16*]c1ccc([C@@H]2CC(=O)Nc3c2c(C)nn3C)cc1F,7,14336
9497,[13*][C@H]1CNC[C@H](C)O1,7,14338
9498,[13*][C@@H]1CNCC(C)(C)O1,7,14339
9499,[4*]CC[n+]1ccc2ccccc2c1,7,14340
9500,[15*][C@@H]1CCC/C1=N\O,7,14342
9501,[13*]C1S/C(=C/C=O)NC1=O,7,14343
9502,[10*]N1C(=O)NC(=CN(C)C)C1=O,7,14345
9503,[7*]=C1C=C(C)C(=O)C=C1C,7,14347
9504,[8*]CN1C(=O)[C@H]2CCCC2=Nc2ccccc21,7,14348
9505,[15*][C@@H]1CC(=O)[C@@H]1C,7,14350
9506,[16*]c1c2c([nH]c(=O)c1C#N)CCN(C)C2,7,14351
9507,[13*]C1SC(N2CCN(C)CC2)=NC1=O,7,14352
9508,[9*]n1c(=O)[nH]c2c(c1=O)CC[C@@H]2N,7,14353
9509,[13*][C@H]1CC(S(=O)(=O)c2ccccc2)CN1,7,14354
9510,[14*]c1cc(C)c2ccccc2[n+]1C,7,14356
9511,[15*]C1Cc2nnc(C)n2C1,7,14359
9512,[5*]N1CC=CC(C(N)=O)=C1S,7,14361
9513,[8*]C(C)(C)C(C)C,7,14362
9514,[13*]C1CNC(=O)CN1,7,14363
9515,[4*]C(C1=NCCO1)C(C)(C)C,7,14368
9516,[1*]C(=O)C1=CNCC=C1C=O,7,14369
9517,[13*][C@H]1NCCC12CC2,7,14370
9518,[6*]C(=O)NN1CSCC1=O,7,14372
9519,[7*]=C1CCCCC1=O,7,14373
9520,[14*]c1cc(=O)c2cc(Cl)ccc2o1,7,14375
9521,[13*][C@H]1C[C@H](c2ccc(Br)cc2)n2ncnc2N1,7,14376
9522,[13*][C@@H]1COC(c2ccccc2O)=N1,7,14377
9523,[8*]CCP(=O)(O)O,7,14380
9524,[13*][C@@H]1C[C@@H](c2cccc(C)c2)n2nc(N)nc2N1,7,14381
9525,[5*]N1C=C(C=O)C(C=O)=CC1,7,14382
9526,[8*]CC(=O)N/N=C1/CC(=O)CC(C)(C)C1,7,14383
9527,[5*]NC1CCCc2c1[nH]c1ccc(Cl)cc21,7,14384
9528,[12*]S(=O)(=O)CCCC(F)(F)F,7,14385
9529,[16*]c1cc(F)cc2n[nH]nc12,7,14386
9530,[16*]c1ccc(S(=O)CC)cc1,7,14387
9531,[16*]c1cc(C)nc2cc(Br)ccc12,7,14388
9532,[7*]=Cc1nc2n[nH]cc2c(=O)[nH]1,7,14389
9533,[16*]c1ccc2c(c1)C(=O)N(C)CC(=O)N2,7,14390
9534,[14*]c1sc2c(c1C)CCCC2,7,14392
9535,[14*]c1nn2cnccc2c1Br,7,14394
9536,[13*][C@@]1(C)CNCCO1,7,14395
9537,[16*]c1ccccc1N=C1CSC(=O)N1,7,14398
9538,[4*]C(C)(C)O,7,14399
9539,[9*]n1[nH]c2ccc(C)cc2c1=O,7,14400
9540,[14*]c1nc2c3cc(F)ccc3ncn2n1,7,14402
9541,[13*]C1(C)C=CC(=O)O1,7,14404
9542,[14*]c1nc2ccc(F)cc2n2c(=O)[nH]nc12,7,14406
9543,[13*][C@H]1C[C@H](c2cccc(C)c2)n2nc(N)nc2N1,7,14407
9544,[14*]c1[nH]ccc1C#N,7,14409
9545,[16*]c1ccc(F)c(S(N)(=O)=O)c1,7,14410
9546,[16*]c1ccccc1[C@H]1CC(=O)Nc2c1c(C)nn2C,7,14411
9547,[13*]C1NCC2CCC1N2,7,14412
9548,[12*]S(=O)(=O)c1c[nH]c2cccc(F)c12,7,14413
9549,[5*]N1CCc2ncc(F)cc2C1,7,14414
9550,[13*]C1CCc2cnccc2N1,7,14417
9551,[5*]N1CC=C(c2cccc(C)n2)CC1,7,14420
9552,[16*]c1ccc2c(c1)C(C)CNC2=O,7,14423
