SMILES,Idx,FID
[14*]c1noc([14*])n1,5,54
[14*]c1ccn(C)n1,0,97
[1*]C(=O)[C@@H](C)CC,0,469
[13*][C@H]1Cc2cccc([16*])c2O1,0,820
[13*][C@H]1Cc2cccc([16*])c2O1,8,3035
[5*]N1CCc2nc([14*])sc2C1,0,663
[5*]N1CCc2nc([14*])sc2C1,7,665
[16*]c1ccc2[nH]ccc2c1,0,459
[9*]n1nnc([14*])c1N,0,1634
[9*]n1nnc([14*])c1N,5,1610
[5*]N1CCO[C@H]([13*])C1,0,35
[5*]N1CCO[C@H]([13*])C1,6,189
[12*]S(=O)(=O)C[C@@H](C)CCl,0,2349
[8*]CCl,0,314
[13*][C@H]1OCCC[C@@H]1[15*],0,350
[13*][C@H]1OCCC[C@@H]1[15*],7,738
[14*]c1ccc(Cl)s1,0,230
[16*]c1cc2c3c(c1)[C@@H]1C=CC[C@H]1CN3C[C@@H]1CC=C[C@H]21,0,12116
[7*]=Cc1c(Br)c([14*])nn1[9*],0,41970
[7*]=Cc1c(Br)c([14*])nn1[9*],6,5775
[7*]=Cc1c(Br)c([14*])nn1[9*],9,5470
[7*]=C1CCc2cc(N)ccc21,0,9813
[15*][C@@H]1CCCC[C@H]1[15*],0,21
[15*][C@@H]1CCCC[C@H]1[15*],7,21
[16*]c1ccnc(F)c1,0,2974
[16*]c1cnccc1C,0,712
[5*]N1CCC[C@H]1[13*],0,28
[5*]N1CCC[C@H]1[13*],6,108
[8*]C[C@H]([8*])O,0,120
[8*]C[C@H]([8*])O,3,154
[14*]c1n[nH]c(=O)c2ccccc12,0,444
[14*]c1nnc2n1CCCCC2,0,419
[16*]c1cccc(Cl)c1C,0,403
[4*]C[C@]([8*])(C)O,0,252
[4*]C[C@]([8*])(C)O,3,266
[1*]C(=O)[C@@H]([4*])C,0,16
[1*]C(=O)[C@@H]([4*])C,4,59
[9*]n1cc([16*])cn1,0,45
[9*]n1cc([16*])cn1,4,71
[4*]C1([15*])CCC([15*])CC1,0,255
[4*]C1([15*])CCC([15*])CC1,2,21
[4*]C1([15*])CCC([15*])CC1,6,21
[8*]C[NH3+],0,98
[4*][C@@H](C)CC,0,136
[15*]C1CCCCCCC1,0,577
[1*]C(=O)CS(=O)(=O)c1nc([14*])n[n-]1,0,16797
[1*]C(=O)CS(=O)(=O)c1nc([14*])n[n-]1,10,14726
[15*][C@H]1CCCC[C@@H]1C,0,571
[15*][C@H]1CCC[C@]([15*])(O)CC1,0,13816
[15*][C@H]1CCC[C@]([15*])(O)CC1,6,2535
[9*]n1cc[nH+]c1[14*],0,178
[9*]n1cc[nH+]c1[14*],6,220
[6*]C(=O)C=[7*],0,61
[6*]C(=O)C=[7*],4,69
[4*][C@H](C)C[8*],0,24
[4*][C@H](C)C[8*],4,30
[13*][C@H]1CCC[NH2+]1,0,202
[16*]c1ccc([N+](=O)[O-])cc1,0,102
[5*]N1CC([15*])C1,0,280
[5*]N1CC([15*])C1,4,344
[9*]n1cc([14*])nn1,0,166
[9*]n1cc([14*])nn1,4,204
[5*][NH+]1CC[C@@H]([15*])C1,0,64
[5*][NH+]1CC[C@@H]([15*])C1,5,235
[9*]n1nc(C)c2[nH]c(=S)n([9*])c21,0,4848
[9*]n1nc(C)c2[nH]c(=S)n([9*])c21,10,4797
[8*]C([8*])C,0,9
[8*]C([8*])C,2,9
